// annotations..
=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.11.09 15:46:44 =~=~=~=~=~=~=~=~=~=~=~=
// build date
lithiumtester Nov  9 2021 15:45:41
start setup..
setup done
// show commands and store volts setting
?
<n> sel 0-6
log
full cycle
chg
disch
store
xit
z-disabl
ana raw
*-reset
build
rv=3800
// start full cycle all
1f2f3f4f5f6f
// s=status change, l=log
s,c:1,chg v=3.752
s,c:2,chg v=3.755
s,c:3,chg v=3.598
s,c:4,chg v=3.957
s,c:5,chg v=3.963
s,c:6,chg v=4.145
// analog raw values
a
953 953 931 993 992 1000
// headers:
//  log or status
//  cell
//  rolling time minutes
//  time in current state minutes
//  state
//  cell volts - if in pause then last pause volts
//  capacity from discharge
//  charge delta - last value is just before charge end
//  discharge delta
//  discharge delta at 3.7V
l,c:1,1,0,chg,3.999,0.000,0,0,0
l,c:2,1,0,chg,4.004,0.000,0,0,0
l,c:3,1,0,chg,3.915,0.000,0,0,0
l,c:4,1,0,chg,4.160,0.000,0,0,0
l,c:5,1,0,chg,4.163,0.000,0,0,0
l,c:6,1,0,chg,4.191,0.000,0,0,0
l,c:1,2,1,chg,4.017,0.000,0,0,0
l,c:2,2,1,chg,4.021,0.000,0,0,0
l,c:3,2,1,chg,3.953,0.000,0,0,0
l,c:4,2,1,chg,4.166,0.000,0,0,0
l,c:5,2,1,chg,4.169,0.000,0,0,0
l,c:6,2,1,chg,4.193,0.000,0,0,0
l,c:1,3,2,chg,4.027,0.000,0,0,0
l,c:2,3,2,chg,4.029,0.000,0,0,0
l,c:3,3,2,chg,3.969,0.000,0,0,0
l,c:4,3,2,chg,4.170,0.000,0,0,0
l,c:5,3,2,chg,4.173,0.000,0,0,0
l,c:6,3,2,chg,4.194,0.000,0,0,0
l,c:1,4,3,chg,4.028,0.000,228,0,0
l,c:2,4,3,chg,4.032,0.000,227,0,0
l,c:3,4,3,chg,3.969,0.000,274,0,0
l,c:4,4,3,chg,4.170,0.000,169,0,0
l,c:5,4,3,chg,4.173,0.000,166,0,0
l,c:6,4,3,chg,4.193,0.000,40,0,0
l,c:1,5,4,chg,4.036,0.000,228,0,0
l,c:2,5,4,chg,4.037,0.000,227,0,0
l,c:3,5,4,chg,3.973,0.000,274,0,0
l,c:4,5,4,chg,4.172,0.000,169,0,0
l,c:5,5,4,chg,4.174,0.000,166,0,0
l,c:6,5,4,chg,4.194,0.000,38,0,0
l,c:1,6,5,chg,4.039,0.000,228,0,0
l,c:2,6,5,chg,4.040,0.000,227,0,0
l,c:3,6,5,chg,3.975,0.000,274,0,0
l,c:4,6,5,chg,4.173,0.000,169,0,0
l,c:5,6,5,chg,4.176,0.000,166,0,0
l,c:6,6,5,chg,4.155,0.000,39,0,0
